Densite, Debit
1, 281
254, 1980
153, 2968
184, 2661
104, 3628
311, 1273
41, 2903
43, 2649
125, 3313
109, 3701
142, 3240
26, 2013
113, 3634
82, 3562
149, 3158
92, 3570
144, 3080
215, 2597
202, 2441
38, 2654
16, 1357
156, 3192
112, 3685
179, 2603
161, 3061
222, 2247
120, 3514
97, 3561
27, 2200
45, 2772
35, 2366
221, 2253
65, 3389
130, 3604
67, 3442
130, 3437
55, 3220
168, 2897
106, 3380
125, 3334
301, 1067
38, 2504
43, 2576
20, 1682
131, 3235
229, 2119
96, 3453
169, 2963
42, 2696
137, 3388
25, 1982
23, 1697
76, 3515
54, 2913
146, 3175
93, 3561
6, 590
164, 2975
29, 2118
90, 3497
21, 1632
110, 3477
161, 3027
136, 3351
186, 2571
95, 3722
39, 2512
37, 2507
92, 3404
76, 3354
18, 1417
78, 3430
137, 3450
44, 2654
245, 1941
289, 1443
220, 2019
142, 3239
71, 3402
5, 445
58, 3117
175, 2977
68, 3363
240, 2056
275, 1454
115, 3396
130, 3300
60, 3204
43, 2682
3, 148
65, 3341
82, 3497
259, 1902
61, 3122
118, 3352
107, 3341
216, 2376
72, 3320
60, 3215
30, 2291
48, 3003
110, 3616
89, 3716
131, 3394
61, 3117
34, 2322
197, 2521
120, 3431
124, 3459
89, 3430
60, 3281
222, 2346
134, 3358
213, 2253
44, 2758
141, 3314
28, 2047
183, 2813
260, 1711
141, 3143
117, 3603
282, 1554
98, 3632
219, 2304
142, 3191
164, 2947
103, 3696
176, 2653
65, 3152
191, 2603
166, 2919
39, 2572
123, 3370
202, 2505
176, 2814
224, 2193
167, 2839
193, 2547
85, 3522
68, 3317
210, 2315
153, 3130
113, 3490
211, 2405
28, 2250
106, 3499
131, 3368
44, 2776
177, 2804
13, 1129
116, 3334
145, 3223
89, 3503
137, 3249
142, 3154
18, 1359
139, 3159
39, 2528
28, 2185
181, 2828
54, 3181
92, 3517
181, 2987
123, 3499
96, 3652
75, 3357
83, 3638
190, 2639
134, 3421
83
66, 3284
126, 3298
135, 3217
